,title,totalRatingCount,authors,image_url,small_image_url
0,'Salem's Lot,74,"Stephen King, Jerry N. Uelsmann",https://images.gr-assets.com/books/1320478491m/5413.jpg,https://images.gr-assets.com/books/1320478491s/5413.jpg
1,"'Tis (Frank McCourt, #2)",99,Frank McCourt,https://images.gr-assets.com/books/1375947803m/4912.jpg,https://images.gr-assets.com/books/1375947803s/4912.jpg
2,1421: The Year China Discovered America,98,Gavin Menzies,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
3,1776,100,David McCullough,https://images.gr-assets.com/books/1306787560m/1067.jpg,https://images.gr-assets.com/books/1306787560s/1067.jpg
4,1984,100,"George Orwell, Erich Fromm, Celâl Üster",https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg
5,A Bend in the River,100,V.S. Naipaul,https://images.gr-assets.com/books/1353691563m/5845.jpg,https://images.gr-assets.com/books/1353691563s/5845.jpg
6,A Bend in the Road,100,Nicholas Sparks,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7,A Brief History of Time,100,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",https://images.gr-assets.com/books/1333578746m/3869.jpg,https://images.gr-assets.com/books/1333578746s/3869.jpg
8,A Briefer History of Time,100,"Stephen Hawking, Leonard Mlodinow",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
9,A Case of Need,91,"Jeffery Hudson, Michael Crichton",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
10,A Christmas Carol,100,Charles Dickens,https://images.gr-assets.com/books/1406512317m/5326.jpg,https://images.gr-assets.com/books/1406512317s/5326.jpg
11,A Christmas Carol and Other Christmas Writings,100,"Charles Dickens, Michael Slater",https://images.gr-assets.com/books/1388952779m/5338.jpg,https://images.gr-assets.com/books/1388952779s/5338.jpg
12,A Fine Balance,100,Rohinton Mistry,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
13,"A Great and Terrible Beauty (Gemma Doyle, #1)",100,Libba Bray,https://images.gr-assets.com/books/1284558475m/3682.jpg,https://images.gr-assets.com/books/1284558475s/3682.jpg
14,A Heartbreaking Work of Staggering Genius,99,Dave Eggers,https://images.gr-assets.com/books/1327714834m/4953.jpg,https://images.gr-assets.com/books/1327714834s/4953.jpg
15,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",100,Karen Armstrong,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
16,A History of the World in 6 Glasses,100,Tom Standage,https://images.gr-assets.com/books/1415681601m/3872.jpg,https://images.gr-assets.com/books/1415681601s/3872.jpg
17,A Home at the End of the World,100,Michael Cunningham,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
18,A House for Mr Biswas,100,V.S. Naipaul,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
19,A Lesson Before Dying,100,Ernest J. Gaines,https://images.gr-assets.com/books/1405866945m/5197.jpg,https://images.gr-assets.com/books/1405866945s/5197.jpg
20,A Little Princess,100,"Frances Hodgson Burnett, Nancy Bond",https://images.gr-assets.com/books/1327868556m/3008.jpg,https://images.gr-assets.com/books/1327868556s/3008.jpg
21,"A Living Nightmare (Cirque Du Freak, #1)",86,Darren Shan,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
22,A Man Without a Country,100,Kurt Vonnegut Jr.,https://images.gr-assets.com/books/1330997432m/4979.jpg,https://images.gr-assets.com/books/1330997432s/4979.jpg
23,A Map of the World,93,"Jane Hamilton, Frank  Muller, C.J. Critt",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
24,A Midsummer Night's Dream,100,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",https://images.gr-assets.com/books/1327874534m/1622.jpg,https://images.gr-assets.com/books/1327874534s/1622.jpg
25,A Million Little Pieces,100,James Frey,https://images.gr-assets.com/books/1483206985m/1241.jpg,https://images.gr-assets.com/books/1483206985s/1241.jpg
26,A Modest Proposal and Other Satirical Works,99,Jonathan Swift,https://images.gr-assets.com/books/1264316062m/2677.jpg,https://images.gr-assets.com/books/1264316062s/2677.jpg
27,A Moveable Feast,100,Ernest Hemingway,https://images.gr-assets.com/books/1427463201m/4631.jpg,https://images.gr-assets.com/books/1427463201s/4631.jpg
28,A Painted House,99,John Grisham,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
29,A People's History of the United States,100,Howard Zinn,https://images.gr-assets.com/books/1494279423m/2767.jpg,https://images.gr-assets.com/books/1494279423s/2767.jpg
30,A Portrait of the Artist as a Young Man,93,"James Joyce, Seamus Deane",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
31,A Prayer for Owen Meany,100,John Irving,https://images.gr-assets.com/books/1260470010m/4473.jpg,https://images.gr-assets.com/books/1260470010s/4473.jpg
