title,totalRatingCount,authors,image_url,small_image_url
'Salem's Lot,74,"Stephen King, Jerry N. Uelsmann",https://images.gr-assets.com/books/1320478491m/5413.jpg,https://images.gr-assets.com/books/1320478491s/5413.jpg
"'Tis (Frank McCourt, #2)",99,Frank McCourt,https://images.gr-assets.com/books/1375947803m/4912.jpg,https://images.gr-assets.com/books/1375947803s/4912.jpg
1421: The Year China Discovered America,98,Gavin Menzies,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1776,100,David McCullough,https://images.gr-assets.com/books/1306787560m/1067.jpg,https://images.gr-assets.com/books/1306787560s/1067.jpg
1984,100,"George Orwell, Erich Fromm, Celâl Üster",https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg
A Bend in the River,100,V.S. Naipaul,https://images.gr-assets.com/books/1353691563m/5845.jpg,https://images.gr-assets.com/books/1353691563s/5845.jpg
A Bend in the Road,100,Nicholas Sparks,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
A Brief History of Time,100,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",https://images.gr-assets.com/books/1333578746m/3869.jpg,https://images.gr-assets.com/books/1333578746s/3869.jpg
A Briefer History of Time,100,"Stephen Hawking, Leonard Mlodinow",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
A Case of Need,91,"Jeffery Hudson, Michael Crichton",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
A Christmas Carol,100,Charles Dickens,https://images.gr-assets.com/books/1406512317m/5326.jpg,https://images.gr-assets.com/books/1406512317s/5326.jpg
A Christmas Carol and Other Christmas Writings,100,"Charles Dickens, Michael Slater",https://images.gr-assets.com/books/1388952779m/5338.jpg,https://images.gr-assets.com/books/1388952779s/5338.jpg
A Fine Balance,100,Rohinton Mistry,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
